participant verb noun landmark input hilo
participant45 waver concentration fluctuate 6 high
participant45 waver courage falter 7 high
participant45 waver determination fluctuate 6 low
participant45 subside island lessen 2 low
participant45 subside fear sink 4 low
participant45 subside symptom lessen 6 high
participant45 subside flood sink 5 low
participant45 chatter machine gabble 5 low
participant45 chatter girl click 1 low
participant45 chatter tooth click 3 high
participant45 chatter child gabble 4 high
participant45 reel industry stagger 7 high
participant45 reel mind stagger 6 low
participant45 reel head whirl 7 high
participant45 reel man whirl 5 low
participant45 glow skin beam 6 high
participant45 glow fire beam 5 low
participant45 glow cigar burn 4 high
participant45 glow face burn 4 low
participant42 stray thought digress 5 high
participant42 stray discussion roam 4 low
participant42 stray eye digress 3 low
participant42 stray child roam 5 high
participant42 throb body shudder 3 low
participant42 throb head pulse 6 high
participant42 throb voice pulse 5 high
participant42 throb vein shudder 3 low
participant42 chatter machine gabble 4 low
participant42 chatter girl click 3 low
participant42 chatter tooth click 4 high
participant42 chatter child gabble 6 high
participant42 rebound shot rally 4 low
participant42 rebound ball ricochet 6 high
participant42 rebound share rally 3 high
participant42 rebound optimism ricochet 5 low
participant42 flicker tongue flick 4 high
participant42 flicker interest flick 2 low
participant42 flicker screen waver 6 low
participant42 flicker hope waver 3 high
participant42 slump shoulder decline 3 low
participant42 slump sale decline 4 high
participant42 slump value slouch 4 low
participant42 slump man slouch 6 high
participant42 bow butler stoop 5 high
participant42 bow head submit 2 low
participant42 bow company stoop 5 low
participant42 bow government submit 5 high
participant42 flare cigarette flame 5 high
participant42 flare eye erupt 3 low
participant42 flare argument flame 5 low
participant42 flare row erupt 5 high
participant42 erupt fountain flare 4 low
participant42 erupt temper burst 5 low
participant42 erupt storm burst 3 high
participant42 erupt conflict flare 4 high
participant42 recoil heart kick 2 low
participant42 recoil rifle flinch 2 low
participant42 recoil eye kick 2 low
participant42 recoil hand flinch 6 high
participant42 boom noise thunder 7 high
participant42 boom export thunder 3 low
participant42 boom sale prosper 7 high
participant42 boom gun prosper 3 low
participant42 waver opinion falter 6 low
participant42 waver concentration fluctuate 2 high
participant42 waver courage falter 6 high
participant42 waver determination fluctuate 3 low
participant42 subside island lessen 2 low
participant42 subside fear sink 3 low
participant42 subside symptom lessen 6 high
participant42 subside flood sink 2 low
participant42 reel industry stagger 4 high
participant42 reel mind stagger 4 low
participant42 reel head whirl 5 high
participant42 reel man whirl 4 low
participant42 glow fire beam 4 low
participant42 glow face burn 4 low
participant42 glow cigar burn 6 high
participant42 glow skin beam 7 high
participant43 stray thought digress 5 high
participant43 stray discussion roam 7 low
participant43 stray eye digress 1 low
participant43 stray child roam 7 high
participant43 throb body shudder 2 low
participant43 throb head pulse 7 high
participant43 throb voice pulse 2 high
participant43 throb vein shudder 4 low
participant43 flare cigarette flame 6 high
participant43 flare eye erupt 2 low
participant43 flare argument flame 5 low
participant43 flare row erupt 6 high
participant43 rebound share rally 1 high
participant43 rebound ball ricochet 4 high
participant43 rebound shot rally 1 low
participant43 rebound optimism ricochet 4 low
participant43 flicker tongue flick 1 high
participant43 flicker interest flick 2 low
participant43 flicker screen waver 2 low
participant43 flicker hope waver 4 high
participant43 slump shoulder decline 2 low
participant43 slump sale decline 7 high
participant43 slump value slouch 4 low
participant43 slump man slouch 6 high
participant43 bow butler stoop 4 high
participant43 bow head submit 5 low
participant43 bow company stoop 1 low
participant43 bow government submit 3 high
participant43 erupt fountain flare 5 low
participant43 erupt conflict flare 5 high
participant43 erupt storm burst 3 high
participant43 erupt temper burst 7 low
participant43 recoil heart kick 1 low
participant43 recoil rifle flinch 3 low
participant43 recoil eye kick 2 low
participant43 recoil hand flinch 6 high
participant43 boom noise thunder 6 high
participant43 boom export thunder 5 low
participant43 boom gun prosper 4 low
participant43 boom sale prosper 7 high
participant43 waver opinion falter 6 low
participant43 waver concentration fluctuate 5 high
participant43 waver courage falter 6 high
participant43 waver determination fluctuate 7 low
participant43 subside flood sink 2 low
participant43 subside fear sink 3 low
participant43 subside symptom lessen 7 high
participant43 subside island lessen 1 low
participant43 chatter machine gabble 3 low
participant43 chatter girl click 1 low
participant43 chatter child gabble 6 high
participant43 chatter tooth click 4 high
participant43 reel head whirl 5 high
participant43 reel mind stagger 1 low
participant43 reel industry stagger 3 high
participant43 reel man whirl 4 low
participant43 glow fire beam 1 low
participant43 glow face burn 5 low
participant43 glow cigar burn 6 high
participant43 glow skin beam 7 high
participant40 waver opinion falter 4 low
participant40 waver concentration fluctuate 6 high
participant40 waver courage falter 7 high
participant40 waver determination fluctuate 7 low
participant40 stray thought digress 7 high
participant40 stray discussion roam 5 low
participant40 stray eye digress 6 low
participant40 stray child roam 1 high
participant40 throb body shudder 3 low
participant40 throb head pulse 6 high
participant40 throb voice pulse 6 high
participant40 throb vein shudder 4 low
participant40 flare cigarette flame 6 high
participant40 flare eye erupt 7 low
participant40 flare argument flame 6 low
participant40 flare row erupt 6 high
participant40 rebound share rally 7 high
participant40 rebound ball ricochet 7 high
participant40 rebound shot rally 4 low
participant40 rebound optimism ricochet 1 low
participant40 flicker screen waver 3 low
participant40 flicker tongue flick 4 high
participant40 flicker hope waver 5 high
participant40 flicker interest flick 2 low
participant40 slump shoulder decline 3 low
participant40 slump sale decline 6 high
participant40 slump value slouch 5 low
participant40 slump man slouch 4 high
participant40 bow butler stoop 3 high
participant40 bow head submit 5 low
participant40 bow company stoop 4 low
participant40 bow government submit 2 high
participant40 erupt fountain flare 5 low
participant40 erupt temper burst 7 low
participant40 erupt storm burst 7 high
participant40 erupt conflict flare 6 high
participant40 recoil heart kick 4 low
participant40 recoil hand flinch 3 high
participant40 recoil eye kick 5 low
participant40 recoil rifle flinch 4 low
participant40 boom noise thunder 6 high
participant40 boom export thunder 3 low
participant40 boom gun prosper 3 low
participant40 boom sale prosper 6 high
participant40 reel head whirl 5 high
participant40 reel mind stagger 5 low
participant40 reel industry stagger 6 high
participant40 reel man whirl 4 low
participant40 subside flood sink 6 low
participant40 subside fear sink 6 low
participant40 subside symptom lessen 7 high
participant40 subside island lessen 2 low
participant40 chatter machine gabble 5 low
participant40 chatter girl click 5 low
participant40 chatter tooth click 5 high
participant40 chatter child gabble 5 high
participant40 glow fire beam 5 low
participant40 glow face burn 2 low
participant40 glow cigar burn 4 high
participant40 glow skin beam 5 high
participant41 subside island lessen 5 low
participant41 subside fear sink 3 low
participant41 subside symptom lessen 6 high
participant41 subside flood sink 5 low
participant41 stray thought digress 7 high
participant41 stray discussion roam 5 low
participant41 stray eye digress 3 low
participant41 stray child roam 5 high
participant41 throb body shudder 3 low
participant41 throb head pulse 5 high
participant41 throb voice pulse 6 high
participant41 throb vein shudder 1 low
participant41 chatter machine gabble 1 low
participant41 chatter girl click 1 low
participant41 chatter tooth click 5 high
participant41 chatter child gabble 6 high
participant41 rebound shot rally 2 low
participant41 rebound ball ricochet 6 high
participant41 rebound share rally 6 high
participant41 rebound optimism ricochet 2 low
participant41 flicker screen waver 3 low
participant41 flicker tongue flick 6 high
participant41 flicker interest flick 2 low
participant41 flicker hope waver 4 high
participant41 slump shoulder decline 2 low
participant41 slump sale decline 6 high
participant41 slump value slouch 4 low
participant41 slump man slouch 5 high
participant41 bow butler stoop 3 high
participant41 bow company stoop 3 low
participant41 bow head submit 1 low
participant41 bow government submit 5 high
participant41 erupt storm burst 5 high
participant41 erupt fountain flare 1 low
participant41 erupt temper burst 5 low
participant41 erupt conflict flare 5 high
participant41 recoil heart kick 4 low
participant41 recoil hand flinch 6 high
participant41 recoil eye kick 1 low
participant41 recoil rifle flinch 2 low
participant41 boom noise thunder 6 high
participant41 boom export thunder 2 low
participant41 boom gun prosper 1 low
participant41 boom sale prosper 7 high
participant41 waver opinion falter 5 low
participant41 waver concentration fluctuate 7 high
participant41 waver courage falter 6 high
participant41 waver determination fluctuate 6 low
participant41 flare cigarette flame 6 high
participant41 flare eye erupt 6 low
participant41 flare argument flame 3 low
participant41 flare row erupt 5 high
participant41 reel industry stagger 6 high
participant41 reel mind stagger 2 low
participant41 reel head whirl 4 high
participant41 reel man whirl 2 low
participant41 glow fire beam 5 low
participant41 glow face burn 3 low
participant41 glow cigar burn 5 high
participant41 glow skin beam 6 high
participant48 stray thought digress 5 high
participant48 stray discussion roam 2 low
participant48 stray eye digress 1 low
participant48 stray child roam 6 high
participant48 throb body shudder 3 low
participant48 throb head pulse 5 high
participant48 throb voice pulse 1 high
participant48 throb vein shudder 1 low
participant48 subside flood sink 1 low
participant48 subside fear sink 2 low
participant48 subside symptom lessen 6 high
participant48 subside island lessen 3 low
participant48 rebound shot rally 2 low
participant48 rebound ball ricochet 6 high
participant48 rebound share rally 6 high
participant48 rebound optimism ricochet 4 low
participant48 flicker screen waver 4 low
participant48 flicker tongue flick 1 high
participant48 flicker interest flick 1 low
participant48 flicker hope waver 6 high
participant48 slump shoulder decline 1 low
participant48 slump sale decline 7 high
participant48 slump value slouch 3 low
participant48 slump man slouch 7 high
participant48 bow butler stoop 1 high
participant48 bow company stoop 2 low
participant48 bow head submit 2 low
participant48 bow government submit 5 high
participant48 erupt fountain flare 3 low
participant48 erupt temper burst 2 low
participant48 erupt storm burst 5 high
participant48 erupt conflict flare 7 high
participant48 recoil heart kick 2 low
participant48 recoil hand flinch 7 high
participant48 recoil eye kick 1 low
participant48 recoil rifle flinch 1 low
participant48 boom noise thunder 5 high
participant48 boom export thunder 1 low
participant48 boom sale prosper 7 high
participant48 boom gun prosper 1 low
participant48 waver opinion falter 6 low
participant48 waver concentration fluctuate 4 high
participant48 waver courage falter 6 high
participant48 waver determination fluctuate 7 low
participant48 flare cigarette flame 3 high
participant48 flare eye erupt 3 low
participant48 flare argument flame 3 low
participant48 flare row erupt 4 high
participant48 chatter machine gabble 2 low
participant48 chatter girl click 3 low
participant48 chatter child gabble 6 high
participant48 chatter tooth click 5 high
participant48 reel industry stagger 6 high
participant48 reel mind stagger 7 low
participant48 reel head whirl 5 high
participant48 reel man whirl 5 low
participant48 glow fire beam 2 low
participant48 glow face burn 1 low
participant48 glow cigar burn 6 high
participant48 glow skin beam 2 high
participant49 subside flood sink 6 low
participant49 subside fear sink 4 low
participant49 subside symptom lessen 7 high
participant49 subside island lessen 3 low
participant49 stray thought digress 5 high
participant49 stray discussion roam 5 low
participant49 stray eye digress 5 low
participant49 stray child roam 2 high
participant49 throb body shudder 3 low
participant49 throb head pulse 4 high
participant49 throb voice pulse 4 high
participant49 throb vein shudder 3 low
participant49 chatter machine gabble 6 low
participant49 chatter girl click 2 low
participant49 chatter child gabble 3 high
participant49 chatter tooth click 3 high
participant49 rebound shot rally 3 low
participant49 rebound ball ricochet 7 high
participant49 rebound share rally 2 high
participant49 rebound optimism ricochet 4 low
participant49 flicker screen waver 6 low
participant49 flicker tongue flick 4 high
participant49 flicker hope waver 6 high
participant49 flicker interest flick 3 low
participant49 slump shoulder decline 3 low
participant49 slump sale decline 7 high
participant49 slump value slouch 5 low
participant49 slump man slouch 5 high
participant49 bow butler stoop 5 high
participant49 bow company stoop 4 low
participant49 bow head submit 3 low
participant49 bow government submit 6 high
participant49 erupt storm burst 7 high
participant49 erupt fountain flare 5 low
participant49 erupt temper burst 7 low
participant49 erupt conflict flare 6 high
participant49 recoil heart kick 4 low
participant49 recoil hand flinch 7 high
participant49 recoil eye kick 3 low
participant49 recoil rifle flinch 4 low
participant49 boom noise thunder 5 high
participant49 boom export thunder 4 low
participant49 boom gun prosper 1 low
participant49 boom sale prosper 7 high
participant49 waver opinion falter 4 low
participant49 waver concentration fluctuate 5 high
participant49 waver courage falter 5 high
participant49 waver determination fluctuate 5 low
participant49 flare cigarette flame 5 high
participant49 flare eye erupt 3 low
participant49 flare argument flame 6 low
participant49 flare row erupt 7 high
participant49 reel industry stagger 4 high
participant49 reel mind stagger 3 low
participant49 reel head whirl 2 high
participant49 reel man whirl 2 low
participant49 glow fire beam 3 low
participant49 glow face burn 1 low
participant49 glow cigar burn 5 high
participant49 glow skin beam 7 high
participant37 stray thought digress 7 high
participant37 stray discussion roam 4 low
participant37 stray eye digress 4 low
participant37 stray child roam 6 high
participant37 throb body shudder 4 low
participant37 throb head pulse 7 high
participant37 throb voice pulse 4 high
participant37 throb vein shudder 2 low
participant37 slump shoulder decline 3 low
participant37 slump sale decline 7 high
participant37 slump value slouch 4 low
participant37 slump man slouch 7 high
participant37 rebound share rally 2 high
participant37 rebound ball ricochet 4 high
participant37 rebound shot rally 4 low
participant37 rebound optimism ricochet 4 low
participant37 flicker screen waver 6 low
participant37 flicker tongue flick 2 high
participant37 flicker hope waver 5 high
participant37 flicker interest flick 1 low
participant37 subside island lessen 3 low
participant37 subside fear sink 6 low
participant37 subside symptom lessen 7 high
participant37 subside flood sink 7 low
participant37 bow butler stoop 7 high
participant37 bow head submit 6 low
participant37 bow company stoop 4 low
participant37 bow government submit 7 high
participant37 erupt fountain flare 3 low
participant37 erupt temper burst 7 low
participant37 erupt storm burst 7 high
participant37 erupt conflict flare 7 high
participant37 recoil heart kick 2 low
participant37 recoil rifle flinch 7 low
participant37 recoil eye kick 1 low
participant37 recoil hand flinch 7 high
participant37 boom noise thunder 6 high
participant37 boom export thunder 2 low
participant37 boom gun prosper 3 low
participant37 boom sale prosper 7 high
participant37 waver opinion falter 7 low
participant37 waver concentration fluctuate 7 high
participant37 waver courage falter 7 high
participant37 waver determination fluctuate 7 low
participant37 flare cigarette flame 7 high
participant37 flare eye erupt 2 low
participant37 flare argument flame 4 low
participant37 flare row erupt 6 high
participant37 chatter machine gabble 2 low
participant37 chatter girl click 2 low
participant37 chatter tooth click 4 high
participant37 chatter child gabble 6 high
participant37 reel head whirl 7 high
participant37 reel mind stagger 2 low
participant37 reel industry stagger 6 high
participant37 reel man whirl 6 low
participant37 glow fire beam 4 low
participant37 glow face burn 7 low
participant37 glow cigar burn 6 high
participant37 glow skin beam 6 high
participant19 stray thought roam 1 low
participant19 stray discussion digress 3 high
participant19 stray eye roam 3 high
participant19 stray child digress 5 low
participant19 throb body pulse 7 high
participant19 throb head shudder 2 low
participant19 throb voice shudder 2 low
participant19 throb vein pulse 7 high
participant19 flare cigarette erupt 2 low
participant19 flare eye flame 5 high
participant19 flare argument erupt 4 high
participant19 flare row flame 6 low
participant19 rebound shot ricochet 7 high
participant19 rebound ball rally 6 low
participant19 rebound share ricochet 5 low
participant19 rebound optimism rally 4 high
participant19 flicker screen flick 3 high
participant19 flicker tongue waver 3 low
participant19 flicker interest waver 3 high
participant19 flicker hope flick 1 low
participant19 subside flood lessen 4 high
participant19 subside fear lessen 6 high
participant19 subside symptom sink 1 low
participant19 subside island sink 2 high
participant19 slump shoulder slouch 7 high
participant19 slump sale slouch 2 low
participant19 slump value decline 1 high
participant19 slump man decline 2 low
participant19 bow butler submit 3 low
participant19 bow head stoop 5 high
participant19 bow company submit 2 high
participant19 bow government stoop 2 low
participant19 erupt fountain burst 2 high
participant19 erupt storm flare 3 low
participant19 erupt conflict burst 4 low
participant19 erupt temper flare 6 high
participant19 recoil heart flinch 1 high
participant19 recoil rifle kick 7 high
participant19 recoil eye flinch 4 high
participant19 recoil hand kick 1 low
participant19 boom noise prosper 3 low
participant19 boom export prosper 7 high
participant19 boom sale thunder 3 low
participant19 boom gun thunder 6 high
participant19 waver opinion fluctuate 7 high
participant19 waver concentration falter 7 low
participant19 waver courage fluctuate 7 low
participant19 waver determination falter 6 high
participant19 chatter machine click 4 high
participant19 chatter girl gabble 3 high
participant19 chatter tooth gabble 3 low
participant19 chatter child click 4 low
participant19 reel head stagger 2 low
participant19 reel mind whirl 7 high
participant19 reel industry whirl 5 low
participant19 reel man stagger 4 high
participant19 glow fire burn 4 high
participant19 glow face beam 6 high
participant19 glow cigar beam 3 low
participant19 glow skin burn 2 low
participant18 stray thought roam 3 low
participant18 stray discussion digress 6 high
participant18 stray eye roam 3 high
participant18 stray child digress 4 low
participant18 throb body pulse 7 high
participant18 throb head shudder 3 low
participant18 throb voice shudder 2 low
participant18 throb vein pulse 6 high
participant18 flare cigarette erupt 2 low
participant18 flare eye flame 3 high
participant18 flare argument erupt 4 high
participant18 flare row flame 3 low
participant18 rebound share ricochet 5 low
participant18 rebound ball rally 3 low
participant18 rebound shot ricochet 6 high
participant18 rebound optimism rally 4 high
participant18 flicker tongue waver 3 low
participant18 flicker screen flick 2 high
participant18 flicker hope flick 1 low
participant18 flicker interest waver 2 high
participant18 slump shoulder slouch 5 high
participant18 slump sale slouch 2 low
participant18 slump value decline 6 high
participant18 slump man decline 2 low
participant18 bow butler submit 5 low
participant18 bow head stoop 3 high
participant18 bow company submit 5 high
participant18 bow government stoop 2 low
participant18 erupt storm flare 5 low
participant18 erupt fountain burst 6 high
participant18 erupt temper flare 4 high
participant18 erupt conflict burst 5 low
participant18 recoil heart flinch 3 high
participant18 recoil hand kick 3 low
participant18 recoil eye flinch 4 high
participant18 recoil rifle kick 2 high
participant18 boom noise prosper 4 low
participant18 boom export prosper 6 high
participant18 boom gun thunder 6 high
participant18 boom sale thunder 2 low
participant18 waver opinion fluctuate 4 high
participant18 waver concentration falter 5 low
participant18 waver courage fluctuate 2 low
participant18 waver determination falter 4 high
participant18 subside island sink 5 high
participant18 subside fear lessen 6 high
participant18 subside symptom sink 2 low
participant18 subside flood lessen 6 high
participant18 chatter machine click 4 high
participant18 chatter girl gabble 5 high
participant18 chatter child click 2 low
participant18 chatter tooth gabble 2 low
participant18 reel head stagger 3 low
participant18 reel mind whirl 5 high
participant18 reel industry whirl 4 low
participant18 reel man stagger 2 high
participant18 glow fire burn 4 high
participant18 glow face beam 5 high
participant18 glow cigar beam 3 low
participant18 glow skin burn 2 low
participant35 stray thought digress 7 high
participant35 stray discussion roam 5 low
participant35 stray eye digress 5 low
participant35 stray child roam 6 high
participant35 throb body shudder 6 low
participant35 throb head pulse 4 high
participant35 throb voice pulse 5 high
participant35 throb vein shudder 3 low
participant35 chatter machine gabble 2 low
participant35 chatter girl click 2 low
participant35 chatter tooth click 4 high
participant35 chatter child gabble 4 high
participant35 rebound share rally 6 high
participant35 rebound ball ricochet 5 high
participant35 rebound shot rally 2 low
participant35 rebound optimism ricochet 2 low
participant35 flicker tongue flick 2 high
participant35 flicker screen waver 4 low
participant35 flicker hope waver 7 high
participant35 flicker interest flick 2 low
participant35 subside flood sink 1 low
participant35 subside fear sink 6 low
participant35 subside symptom lessen 7 high
participant35 subside island lessen 4 low
participant35 slump shoulder decline 6 low
participant35 slump sale decline 6 high
participant35 slump value slouch 5 low
participant35 slump man slouch 7 high
participant35 bow butler stoop 2 high
participant35 bow company stoop 4 low
participant35 bow head submit 2 low
participant35 bow government submit 6 high
participant35 erupt storm burst 7 high
participant35 erupt fountain flare 6 low
participant35 erupt temper burst 7 low
participant35 erupt conflict flare 7 high
participant35 recoil heart kick 2 low
participant35 recoil rifle flinch 2 low
participant35 recoil eye kick 2 low
participant35 recoil hand flinch 4 high
participant35 boom noise thunder 7 high
participant35 boom export thunder 1 low
participant35 boom sale prosper 5 high
participant35 boom gun prosper 1 low
participant35 waver opinion falter 4 low
participant35 waver concentration fluctuate 4 high
participant35 waver courage falter 2 high
participant35 waver determination fluctuate 4 low
participant35 flare cigarette flame 5 high
participant35 flare eye erupt 4 low
participant35 flare argument flame 5 low
participant35 flare row erupt 2 high
participant35 reel head whirl 6 high
participant35 reel mind stagger 4 low
participant35 reel industry stagger 1 high
participant35 reel man whirl 5 low
participant35 glow fire beam 2 low
participant35 glow skin beam 4 high
participant35 glow cigar burn 4 high
participant35 glow face burn 2 low
participant34 stray thought roam 7 low
participant34 stray discussion digress 4 high
participant34 stray eye roam 6 high
participant34 stray child digress 5 low
participant34 throb body pulse 6 high
participant34 throb head shudder 3 low
participant34 throb voice shudder 5 low
participant34 throb vein pulse 6 high
participant34 slump shoulder slouch 6 high
participant34 slump sale slouch 4 low
participant34 slump value decline 7 high
participant34 slump man decline 4 low
participant34 rebound share ricochet 4 low
participant34 rebound ball rally 4 low
participant34 rebound shot ricochet 6 high
participant34 rebound optimism rally 6 high
participant34 flicker screen flick 3 high
participant34 flicker tongue waver 4 low
participant34 flicker interest waver 6 high
participant34 flicker hope flick 3 low
participant34 subside island sink 6 high
participant34 subside fear lessen 6 high
participant34 subside symptom sink 4 low
participant34 subside flood lessen 7 high
participant34 bow butler submit 4 low
participant34 bow head stoop 6 high
participant34 bow company submit 6 high
participant34 bow government stoop 4 low
participant34 erupt fountain burst 5 high
participant34 erupt temper flare 6 high
participant34 erupt storm flare 5 low
participant34 erupt conflict burst 4 low
participant34 recoil heart flinch 6 high
participant34 recoil rifle kick 3 high
participant34 recoil eye flinch 6 high
participant34 recoil hand kick 3 low
participant34 boom noise prosper 4 low
participant34 boom export prosper 6 high
participant34 boom gun thunder 6 high
participant34 boom sale thunder 4 low
participant34 waver opinion fluctuate 6 high
participant34 waver concentration falter 6 low
participant34 waver courage fluctuate 5 low
participant34 waver determination falter 6 high
participant34 flare cigarette erupt 5 low
participant34 flare eye flame 6 high
participant34 flare argument erupt 6 high
participant34 flare row flame 4 low
participant34 chatter machine click 4 high
participant34 chatter girl gabble 5 high
participant34 chatter child click 3 low
participant34 chatter tooth gabble 3 low
participant34 reel head stagger 6 low
participant34 reel mind whirl 6 high
participant34 reel industry whirl 4 low
participant34 reel man stagger 7 high
participant34 glow fire burn 6 high
participant34 glow face beam 5 high
participant34 glow cigar beam 4 low
participant34 glow skin burn 4 low
participant33 subside flood lessen 7 high
participant33 subside fear lessen 7 high
participant33 subside symptom sink 4 low
participant33 subside island sink 3 high
participant33 stray thought roam 7 low
participant33 stray discussion digress 7 high
participant33 stray eye roam 7 high
participant33 stray child digress 3 low
participant33 throb body pulse 6 high
participant33 throb head shudder 2 low
participant33 throb voice shudder 1 low
participant33 throb vein pulse 7 high
participant33 chatter machine click 4 high
participant33 chatter girl gabble 3 high
participant33 chatter child click 1 low
participant33 chatter tooth gabble 3 low
participant33 rebound share ricochet 7 low
participant33 rebound ball rally 3 low
participant33 rebound shot ricochet 7 high
participant33 rebound optimism rally 3 high
participant33 flicker screen flick 6 high
participant33 flicker interest waver 5 high
participant33 flicker tongue waver 3 low
participant33 flicker hope flick 6 low
participant33 slump shoulder slouch 6 high
participant33 slump sale slouch 7 low
participant33 slump value decline 6 high
participant33 slump man decline 4 low
participant33 bow butler submit 2 low
participant33 bow company submit 6 high
participant33 bow head stoop 6 high
participant33 bow government stoop 6 low
participant33 erupt fountain burst 4 high
participant33 erupt storm flare 6 low
participant33 erupt conflict burst 7 low
participant33 erupt temper flare 6 high
participant33 recoil heart flinch 3 high
participant33 recoil hand kick 1 low
participant33 recoil eye flinch 3 high
participant33 recoil rifle kick 5 high
participant33 boom noise prosper 2 low
participant33 boom export prosper 6 high
participant33 boom gun thunder 7 high
participant33 boom sale thunder 1 low
participant33 waver opinion fluctuate 5 high
participant33 waver concentration falter 7 low
participant33 waver courage fluctuate 4 low
participant33 waver determination falter 6 high
participant33 flare cigarette erupt 1 low
participant33 flare eye flame 6 high
participant33 flare argument erupt 6 high
participant33 flare row flame 4 low
participant33 reel head stagger 3 low
participant33 reel mind whirl 4 high
participant33 reel industry whirl 4 low
participant33 reel man stagger 4 high
participant33 glow fire burn 6 high
participant33 glow face beam 7 high
participant33 glow cigar beam 2 low
participant33 glow skin burn 3 low
participant32 stray thought roam 5 low
participant32 stray discussion digress 6 high
participant32 stray eye roam 4 high
participant32 stray child digress 4 low
participant32 throb body pulse 6 high
participant32 throb head shudder 2 low
participant32 throb voice shudder 2 low
participant32 throb vein pulse 6 high
participant32 flare cigarette erupt 2 low
participant32 flare eye flame 5 high
participant32 flare argument erupt 6 high
participant32 flare row flame 4 low
participant32 rebound share ricochet 4 low
participant32 rebound ball rally 4 low
participant32 rebound shot ricochet 6 high
participant32 rebound optimism rally 5 high
participant32 flicker tongue waver 2 low
participant32 flicker screen flick 3 high
participant32 flicker interest waver 6 high
participant32 flicker hope flick 3 low
participant32 slump shoulder slouch 5 high
participant32 slump sale slouch 2 low
participant32 slump value decline 6 high
participant32 slump man decline 3 low
participant32 bow butler submit 2 low
participant32 bow head stoop 5 high
participant32 bow company submit 2 high
participant32 bow government stoop 4 low
participant32 erupt fountain burst 5 high
participant32 erupt storm flare 5 low
participant32 erupt conflict burst 5 low
participant32 erupt temper flare 6 high
participant32 recoil heart flinch 5 high
participant32 recoil hand kick 2 low
participant32 recoil eye flinch 2 high
participant32 recoil rifle kick 5 high
participant32 boom noise prosper 3 low
participant32 boom export prosper 6 high
participant32 boom gun thunder 4 high
participant32 boom sale thunder 3 low
participant32 waver opinion fluctuate 6 high
participant32 waver concentration falter 6 low
participant32 waver courage fluctuate 6 low
participant32 waver determination falter 6 high
participant32 subside island sink 5 high
participant32 subside fear lessen 5 high
participant32 subside symptom sink 3 low
participant32 subside flood lessen 5 high
participant32 chatter machine click 3 high
participant32 chatter girl gabble 5 high
participant32 chatter tooth gabble 2 low
participant32 chatter child click 3 low
participant32 reel industry whirl 3 low
participant32 reel mind whirl 5 high
participant32 reel head stagger 2 low
participant32 reel man stagger 6 high
participant32 glow fire burn 5 high
participant32 glow face beam 6 high
participant32 glow cigar beam 3 low
participant32 glow skin burn 4 low
participant31 stray thought roam 6 low
participant31 stray discussion digress 6 high
participant31 stray eye roam 6 high
participant31 stray child digress 3 low
participant31 throb body pulse 6 high
participant31 throb head shudder 3 low
participant31 throb voice shudder 3 low
participant31 throb vein pulse 6 high
participant31 flare cigarette erupt 3 low
participant31 flare eye flame 6 high
participant31 flare argument erupt 6 high
participant31 flare row flame 2 low
participant31 rebound share ricochet 6 low
participant31 rebound ball rally 3 low
participant31 rebound shot ricochet 6 high
participant31 rebound optimism rally 3 high
participant31 flicker tongue waver 3 low
participant31 flicker interest waver 4 high
participant31 flicker screen flick 2 high
participant31 flicker hope flick 1 low
participant31 slump shoulder slouch 6 high
participant31 slump sale slouch 7 low
participant31 slump value decline 6 high
participant31 slump man decline 2 low
participant31 bow butler submit 4 low
participant31 bow company submit 4 high
participant31 bow head stoop 6 high
participant31 bow government stoop 3 low
participant31 erupt fountain burst 6 high
participant31 erupt conflict burst 4 low
participant31 erupt storm flare 6 low
participant31 erupt temper flare 6 high
participant31 recoil heart flinch 3 high
participant31 recoil rifle kick 6 high
participant31 recoil eye flinch 3 high
participant31 recoil hand kick 2 low
participant31 boom noise prosper 1 low
participant31 boom export prosper 2 high
participant31 boom gun thunder 6 high
participant31 boom sale thunder 2 low
participant31 waver opinion fluctuate 5 high
participant31 waver concentration falter 6 low
participant31 waver courage fluctuate 4 low
participant31 waver determination falter 5 high
participant31 subside island sink 5 high
participant31 subside fear lessen 7 high
participant31 subside symptom sink 2 low
participant31 subside flood lessen 6 high
participant31 reel head stagger 2 low
participant31 reel mind whirl 6 high
participant31 reel industry whirl 3 low
participant31 reel man stagger 6 high
participant31 chatter machine click 5 high
participant31 chatter girl gabble 6 high
participant31 chatter child click 2 low
participant31 chatter tooth gabble 2 low
participant31 glow fire burn 5 high
participant31 glow face beam 6 high
participant31 glow cigar beam 1 low
participant31 glow skin burn 2 low
participant30 stray thought roam 7 low
participant30 stray discussion digress 6 high
participant30 stray eye roam 7 high
participant30 stray child digress 7 low
participant30 throb body pulse 4 high
participant30 throb head shudder 3 low
participant30 throb voice shudder 3 low
participant30 throb vein pulse 6 high
participant30 reel industry whirl 2 low
participant30 reel mind whirl 6 high
participant30 reel head stagger 2 low
participant30 reel man stagger 2 high
participant30 rebound shot ricochet 7 high
participant30 rebound ball rally 2 low
participant30 rebound share ricochet 5 low
participant30 rebound optimism rally 4 high
participant30 flicker tongue waver 3 low
participant30 flicker screen flick 1 high
participant30 flicker hope flick 1 low
participant30 flicker interest waver 5 high
participant30 slump shoulder slouch 6 high
participant30 slump sale slouch 4 low
participant30 slump value decline 7 high
